AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
687,21617,20190901,,Dampoortstraat,"(51.5018154, 3.623561021)"
687,21627,20190901,,Herengracht 1,"(51.49969, 3.60785)"
687,21663,20190901,20190627,Molenwater 2,"(51.50432, 3.61722)"
687,21688,20190901,,Rouaansekaai 2,"(51.50022, 3.62098)"
687,21634,20190901,,Damplein,"(51.50015531, 3.61677292)"
687,21602,20190901,,Augustijnenstraat,"(51.49781468, 3.60716708)"
687,21711,20190901,,Zuidsingel 2,"(51.50296, 3.61509)"
687,21660,20190901,,Meestoof 3,"(51.49839, 3.62203)"
687,21700,20190901,,Stadsschuur,"(51.49598327, 3.612816351)"
687,21640,20190901,,Klein Vlaanderen 4,"(51.50284837, 3.609476205)"
687,21616,20190901,,Damplein 2,"(51.50035193, 3.617562628)"
687,21705,20190901,,Veersesingel 2,"(51.50257879, 3.625253067)"
687,21614,20190901,,Dam 2,"(51.50134, 3.61992)"
687,21675,20190901,,Oostkerkplein,"(51.50301496, 3.620479124)"
687,21646,20190901,,Kousteensedijk waterzijde,"(51.49522913, 3.614687402)"
687,21657,20190901,,Maaisbaai 2,"(51.50015155, 3.623105816)"
687,21655,20190901,20190627,Loskade 4,"(51.49804831, 3.622230734)"
687,21692,20190901,,Seisdam,"(51.49881, 3.60622)"
687,21615,20190901,,Damplein 1,"(51.50009357, 3.616826715)"
687,21664,20190901,,Molenwater 3,"(51.50441511, 3.61515174)"
687,21659,20190901,,Meestoof 2,"(51.49816, 3.62101)"
687,21652,20190901,,Loskade 1,"(51.4966, 3.618098091)"
687,21702,20190901,,Touwbaan,"(51.49901293, 3.624027652)"
687,21656,20190901,,Maisbaai 1,"(51.49960537, 3.624092647)"
687,21654,20190901,,Loskade 3,"(51.49756, 3.620708091)"
687,21665,20190901,20190627,Molenwater 4,"(51.50397276, 3.613369343)"
687,21673,20190901,,Onder den Toren 1,"(51.49939776, 3.61415422)"
687,21655,20190901,,Loskade 4,"(51.49804831, 3.622118825)"
687,21715,20190901,,Zusterstraat 2,"(51.4974147, 3.611467883)"
687,21665,20190901,,Molenwater 4,"(51.50397276, 3.613257434)"
687,21716,20190901,,Kanaalweg,"(51.49480496, 3.616305209)"
687,21670,20190901,,Nieuwepoortstraat,"(51.49782832, 3.619205766)"
687,21624,20190901,,Haringplaats,"(51.50166541, 3.615407202)"
687,21612,20190901,,Breestraat 2,"(51.50222496, 3.622613068)"
687,21684,20190901,,Punt,"(51.49980134, 3.625918179)"
687,21662,20190901,,Molenwater 1,"(51.50304766, 3.617924672)"
687,21641,20190901,,kousteensedijk boven,"(51.49613747, 3.616174462)"
687,21671,20190901,,Nieuwstraat,"(51.49864, 3.61775)"
687,21694,20190901,,Singelstraat 1,"(51.50215, 3.61936)"
687,21666,20190901,20190627,Molenwater 5,"(51.50361907, 3.613373863)"
687,21629,20190901,,Herengracht 3,"(51.50226226, 3.609962481)"
